job_id,status,real_development_model_fitting_performed,coverage_fraction,brier_score,log_loss
v3g5job:75b3336c24152a53fdfd404202afb7967aac6d4b89d5468138d95cd12186b415,FAILED: Training fold is shorter than the registered rolling window.,,,,
v3g5job:04b8b7fb8b0e022506ff9e541bef889f9150bb28b57407d570546d65d398ab37,FAILED: Training fold is shorter than the registered rolling window.,,,,
v3g5job:301063e33ba57e0618d51ed38e8c68f6121dad8721b3e7c8bd888bcfb7bfbc26,FAILED: Training fold is shorter than the registered rolling window.,,,,
v3g5job:3243bebd6b54d15fce65c511777a8c3cf893eaa0d16e9974685ea88c3a72021d,SUCCESS,False,0.40950639853747717,0.25015773618719217,0.6934618042356224
v3g5job:5eade83424948d514c4ab087c70e380b81eb33a0b89073d2e9e57eeed67fe811,SUCCESS,False,0.05850091407678245,0.24993543113827327,0.6930175748276746
v3g5job:c8b0df9a9ff953f49d8461641403309bf07f2eb53dec483a74741acb18672986,FAILED: Training fold is shorter than the registered rolling window.,,,,
v3g5job:e78cebacbe8ad09a630cbb5a504773438b1198dea4b0e5596e733df042b92ce0,FAILED: Training fold is shorter than the registered rolling window.,,,,
v3g5job:2af3c8a73c09a7fca22dc9d59f025f7a618f32eb94313c2768fdf05f4b010471,FAILED: Training fold is shorter than the registered rolling window.,,,,
v3g5job:69fa4979e4c4741662e75738befab74fe6259651c161faf1218482a28c416ec8,SUCCESS,False,0.4606946983546618,0.25005300292470567,0.6932513962330253
v3g5job:707e3baf7036aada71f54564f9e3f686e2298e995cac99db3588df380b4b3cb3,SUCCESS,False,0.02010968921389397,0.2499351830233055,0.6930172706493242
v3g5job:794779748dd64434a401984b1b943d20630587d083a2027d788c08c228813feb,FAILED: Training fold is shorter than the registered rolling window.,,,,
v3g5job:5d6c2da78f141cb0586f500eb64b3049eb63c2fa1caed00ac3fc0d7fd1ff9b7e,FAILED: Training fold is shorter than the registered rolling window.,,,,
v3g5job:a46570fb085039f6a3d632e924320be9c284ec3a2417d7f073abb691f2000240,FAILED: Training fold is shorter than the registered rolling window.,,,,
v3g5job:ad20f188011b5ebd948d0be5c12a578fa924a22735f9a1be684d8657680e2656,SUCCESS,False,0.376599634369287,0.2500193945975342,0.6931844126417367
v3g5job:bf27f0c4c233c324ff25f6c5d7780de31c578ce1f8a45a55a92c0a086ca9314c,SUCCESS,False,0.031078610603290677,0.24995538980039783,0.6930576062703695
v3g5job:893be55c594a85b91ddbe5b9138b4720de07ea80325d37a2cfaf2fb7f51a11ac,FAILED: Training fold is shorter than the registered rolling window.,,,,
v3g5job:db0fb0b4a92d15aa2d89adbf417cb1f7f8f37dcc6bd832dfd3c24ffcb6718800,FAILED: Training fold is shorter than the registered rolling window.,,,,
v3g5job:bffd7dc597413c9def82c978e327476e6113aae4a3846da2c8385c60de672fee,FAILED: Training fold is shorter than the registered rolling window.,,,,
v3g5job:353347ac9106fd455313707b3a68a6bb447f9db49c1b0fe43d7048ec7182429d,SUCCESS,False,0.3875685557586837,0.24976124396306235,0.6926678275071294
v3g5job:94109b08b4f596ec515719551e6831664ff1724efb08ab94fc7d7198455047db,SUCCESS,False,0.0,0.250044152623713,0.6932354630400835
v3g5job:75f42b953aaf4989c4c1fd10aab5154a7aeb008868cad7b3ffe68ee5edc303c6,FAILED: Training fold is shorter than the registered rolling window.,,,,
v3g5job:47542003ff9a1de2223060213ea73d908e3a334c1d46de91ab7e01e15d5acdf0,FAILED: Training fold is shorter than the registered rolling window.,,,,
v3g5job:5f5fd13c02a88486b6961c98a8fe7277edab3fb84a6cfe022aafb428d2b1353f,FAILED: Training fold is shorter than the registered rolling window.,,,,
v3g5job:40e82d7efec6a890b3ecf18fa1f3437f2c3c0019c56a5507912f481273219603,SUCCESS,False,0.3912248628884826,0.2499050834645582,0.692956639907396
v3g5job:dce963f6ae48ffc7294e0b473ff20f31ba891da8199f51995c32b32bbce588d8,SUCCESS,False,0.0,0.2500320005142035,0.6932111497404237
