signal_family,horizon_candles,horizon_hours,outer_fold,inner_fold,selected_signal_spec_id,selected_pipeline_id,selected_calibration_method,threshold,coverage,nonzero_decisions,mean_net_edge,cumulative_net_return,turnover_units
rsi,1,4,2,3,rsi-p7-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes15-min_samples_leaf100-expanding-unconditioned,none,0.05,0.3475609756097561,285,-0.0009934857049867555,-0.4591434259212256,416.0
rsi,1,4,2,3,rsi-p7-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes15-min_samples_leaf100-expanding-unconditioned,none,0.1,0.03780487804878049,31,-0.0022306503314913776,-0.09515016027623274,52.0
bollinger,1,4,2,1,bollinger-p10-k1.5-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes15-min_samples_leaf100-expanding-unconditioned,none,0.0,1.0,820,-0.000809950456281009,-0.6641593741504274,507.0
bollinger,1,4,2,1,bollinger-p10-k1.5-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes15-min_samples_leaf100-expanding-unconditioned,none,0.02,0.7597560975609756,623,-0.001476897343946532,-1.0561070452786896,531.0
bollinger,1,4,2,1,bollinger-p10-k1.5-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes15-min_samples_leaf100-expanding-unconditioned,none,0.05,0.325609756097561,267,0.0037289752977693632,0.8426364045044199,340.0
bollinger,1,4,2,1,bollinger-p10-k1.5-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes15-min_samples_leaf100-expanding-unconditioned,none,0.1,0.0,0,0.0,0.0,0.0
bollinger,1,4,2,2,bollinger-p10-k1.5-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes15-min_samples_leaf100-expanding-unconditioned,none,0.0,1.0,820,-0.0002753332440704156,-0.2257732601377408,673.0
bollinger,1,4,2,2,bollinger-p10-k1.5-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes15-min_samples_leaf100-expanding-unconditioned,none,0.02,0.6268292682926829,514,-4.076121017011591e-05,-0.21395126202743986,593.0
bollinger,1,4,2,2,bollinger-p10-k1.5-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes15-min_samples_leaf100-expanding-unconditioned,none,0.05,0.22682926829268293,186,0.0009749074790627613,0.04933279110567346,275.0
bollinger,1,4,2,2,bollinger-p10-k1.5-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes15-min_samples_leaf100-expanding-unconditioned,none,0.1,0.025609756097560974,21,0.0023964144198331664,0.03332470281649649,34.0
bollinger,1,4,2,3,bollinger-p10-k1.5-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes15-min_samples_leaf100-expanding-unconditioned,none,0.0,1.0,820,-0.0007476479949107525,-0.613071355826817,749.0
bollinger,1,4,2,3,bollinger-p10-k1.5-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes15-min_samples_leaf100-expanding-unconditioned,none,0.02,0.43902439024390244,360,-0.00206490638375911,-0.9223662981532799,494.0
bollinger,1,4,2,3,bollinger-p10-k1.5-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes15-min_samples_leaf100-expanding-unconditioned,none,0.05,0.07560975609756097,62,-0.0055745738513600755,-0.39462357878432464,110.0
bollinger,1,4,2,3,bollinger-p10-k1.5-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes15-min_samples_leaf100-expanding-unconditioned,none,0.1,0.0,0,0.0,0.0,0.0
rsi,1,4,3,1,rsi-p28-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes7-min_samples_leaf100-expanding-unconditioned,none,0.0,1.0,1231,-0.00036736575823640956,-0.4522272483890202,1093.0
rsi,1,4,3,1,rsi-p28-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes7-min_samples_leaf100-expanding-unconditioned,none,0.02,0.6961819658813972,857,-8.578727505082538e-07,-0.2577351969471857,977.0
rsi,1,4,3,1,rsi-p28-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes7-min_samples_leaf100-expanding-unconditioned,none,0.05,0.36799350121852153,453,0.0009544825626086002,0.19238060086169598,661.0
rsi,1,4,3,1,rsi-p28-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes7-min_samples_leaf100-expanding-unconditioned,none,0.1,0.06986190089358245,86,-0.0019092364539372484,-0.2291943350386034,148.0
rsi,1,4,3,2,rsi-p28-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes7-min_samples_leaf100-expanding-unconditioned,none,0.0,1.0,1231,0.0005826247053721321,0.7172110123130947,849.0
rsi,1,4,3,2,rsi-p28-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes7-min_samples_leaf100-expanding-unconditioned,none,0.02,0.6718115353371243,827,0.0005071632192353048,0.1744239823075968,809.0
rsi,1,4,3,2,rsi-p28-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes7-min_samples_leaf100-expanding-unconditioned,none,0.05,0.20958570268074736,258,0.0015075200531898668,0.19394017372298547,422.0
rsi,1,4,3,2,rsi-p28-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes7-min_samples_leaf100-expanding-unconditioned,none,0.1,0.002437043054427295,3,-0.00019716087600679896,-0.0035914826280203996,6.0
rsi,1,4,3,3,rsi-p28-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes7-min_samples_leaf100-expanding-unconditioned,none,0.0,1.0,1231,5.090636618454964e-05,0.0626657367731806,489.0
rsi,1,4,3,3,rsi-p28-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes7-min_samples_leaf100-expanding-unconditioned,none,0.02,0.4321689683184403,532,-0.0014763247336087536,-0.9354047582798569,361.0
rsi,1,4,3,3,rsi-p28-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes7-min_samples_leaf100-expanding-unconditioned,none,0.05,0.004061738424045491,5,0.01662688508030232,0.0781344254015116,10.0
rsi,1,4,3,3,rsi-p28-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes7-min_samples_leaf100-expanding-unconditioned,none,0.1,0.0,0,0.0,0.0,0.0
bollinger,1,4,3,1,bollinger-p40-k1.5-continuation,shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter100-max_leaf_nodes15-min_samples_leaf100-expanding-softstate,none,0.0,1.0,1231,-0.0009304618236797353,-1.1453985049497541,881.0
bollinger,1,4,3,1,bollinger-p40-k1.5-continuation,shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter100-max_leaf_nodes15-min_samples_leaf100-expanding-softstate,none,0.02,0.7749796913078798,954,-0.001136400547375038,-1.2851261221957866,838.0
bollinger,1,4,3,1,bollinger-p40-k1.5-continuation,shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter100-max_leaf_nodes15-min_samples_leaf100-expanding-softstate,none,0.05,0.4329813160032494,533,-0.002282100330145681,-1.464359475967648,626.0
