signal_family,horizon_candles,horizon_hours,outer_fold,selected_signal_spec_id,selected_pipeline_id,model_family,window_scheme,regime_conditioned,parameters_json,selected_calibration_method,selected_threshold,train_rows,fit_rows,calibration_rows,test_rows,benchmark_log_loss,candidate_log_loss,incremental_log_loss,benchmark_brier,candidate_brier,benchmark_ece,candidate_ece,policy_coverage,policy_nonzero_decisions,policy_mean_net_edge,policy_cumulative_net_return,policy_turnover_units,economic_gate_evaluated
rsi,3,12,1,rsi-p7-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter200-max_leaf_nodes7-min_samples_leaf100-expanding-unconditioned,shallow_hist_gradient_boosting,expanding,False,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 200, ""max_leaf_nodes"": 7, ""min_samples_leaf"": 100}",sigmoid,0.0,1610,1285,322,1642,0.7039075534403276,0.7035192270217708,0.00038832641855679473,0.255329069001342,0.2551566334623438,0.081061814760994,0.07833056509975961,1.0,1642,-0.0028929456345044404,-4.750216731856291,1.0,False
bollinger,3,12,1,bollinger-p10-k2-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes15-min_samples_leaf100-expanding-softstate,shallow_hist_gradient_boosting,expanding,True,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 100, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 100}",sigmoid,0.0,1610,1285,322,1642,0.7051791273574878,0.7042016000510324,0.0009775273064553947,0.255931523265632,0.2555021197350747,0.08152571311039793,0.07734468652466114,1.0,1642,-0.0028929456345044404,-4.750216731856291,1.0,False
rsi,3,12,2,rsi-p7-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter100-max_leaf_nodes15-min_samples_leaf100-expanding-unconditioned,shallow_hist_gradient_boosting,expanding,False,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 100, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 100}",sigmoid,0.0,3252,2599,650,1642,0.691114823186551,0.691436840372723,-0.0003220171861719745,0.24898443478922705,0.24914481030667313,0.007790886880947423,0.006214497180937964,1.0,1642,0.0008062050749733496,1.3237887331062401,41.0,False
bollinger,3,12,2,bollinger-p20-k1.5-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes15-min_samples_leaf100-expanding-softstate,shallow_hist_gradient_boosting,expanding,True,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 100, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 100}",sigmoid,0.05,3252,2599,650,1642,0.6911764675967133,0.6906261744361614,0.0005502931605518846,0.24901518830180944,0.248740429554644,0.008267061933206532,0.008346313815466092,0.0006090133982947625,1,0.0016373641660855998,0.0006373641660855998,2.0,False
rsi,3,12,3,rsi-p28-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes15-min_samples_leaf100-window_observations2190-rolling_one_year-softstate,shallow_hist_gradient_boosting,rolling_one_year,True,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 100, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 100, ""window_observations"": 2190}",sigmoid,0.0,2190,1749,438,1642,0.7022320108631334,0.7012906763616761,0.0009413345014572805,0.2544537163097574,0.25403896296113454,0.07240339604882515,0.06406684912185173,1.0,1642,-0.0028978266636816097,-4.758231381765203,1.0,False
bollinger,3,12,3,bollinger-p10-k2.5-continuation,shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter100-max_leaf_nodes15-min_samples_leaf100-expanding-unconditioned,shallow_hist_gradient_boosting,expanding,False,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 100, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 100}",sigmoid,0.02,4894,3913,978,1642,0.6979268681418126,0.6967107851336447,0.0012160830081678897,0.2523829027779237,0.25177573358318783,0.05051169933925809,0.03937119790338064,0.718026796589525,1179,-0.0035014640007608013,-4.292226056896984,329.0,False
rsi,3,12,4,rsi-p28-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter100-max_leaf_nodes15-min_samples_leaf100-expanding-softstate,shallow_hist_gradient_boosting,expanding,True,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 100, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 100}",none,0.02,6536,6536,0,1642,0.689988291006744,0.6939480705509427,-0.003959779544198683,0.24841787203901153,0.25034751432053637,0.017386634555306656,0.02239517788303975,0.7003654080389768,1150,0.0013315382749057242,1.2222690161415828,1051.0,False
bollinger,3,12,4,bollinger-p40-k1.5-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter200-max_leaf_nodes7-min_samples_leaf100-window_observations4380-rolling_two_year-softstate,shallow_hist_gradient_boosting,rolling_two_year,True,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 200, ""max_leaf_nodes"": 7, ""min_samples_leaf"": 100, ""window_observations"": 4380}",none,0.1,4380,4380,0,1642,0.6932481676748116,0.6995222548994616,-0.00627408722465006,0.2500374275992858,0.25303109474682395,0.021403778481359763,0.07337995350120134,0.2868453105968331,471,0.0013686282720590448,0.4136239161398097,462.0,False
rsi,3,12,5,rsi-p28-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes15-min_samples_leaf100-expanding-unconditioned,shallow_hist_gradient_boosting,expanding,False,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 100, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 100}",none,0.02,8178,8178,0,1639,0.6935792500111491,0.6915113875513926,0.002067862459756431,0.250209959373381,0.24917923102769504,0.02377535300681347,0.010826153063654158,0.6906650396583283,1132,0.0011578860610786238,0.9717270211410018,1044.0,False
bollinger,3,12,5,bollinger-p40-k2.5-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter200-max_leaf_nodes7-min_samples_leaf100-expanding-softstate,shallow_hist_gradient_boosting,expanding,True,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 200, ""max_leaf_nodes"": 7, ""min_samples_leaf"": 100}",none,0.0,8167,8167,0,1639,0.6942814899477056,0.6937437345173783,0.0005377554303273024,0.25055221441101333,0.2502936821557283,0.020188618820068532,0.03837856176714544,1.0,1639,0.00027437513916175676,0.4497008530861193,575.0,False
