horizon_candles,outer_fold,Timestamp,state_p_range,state_p_trend,state_p_stress,state_label
6,3,2023-08-29 12:00:00+00:00,0.7084150362578726,0.2889755155617775,0.0026094481803497,range
6,3,2023-08-29 16:00:00+00:00,0.9837630153941571,0.015352934959486385,0.0008840496463566762,range
6,3,2023-08-29 20:00:00+00:00,0.9954568645172396,0.004083277976201555,0.00045985750655880145,range
6,3,2023-08-30 00:00:00+00:00,0.9964396168426413,0.0027730850231014906,0.0007872981342569433,range
6,3,2023-08-30 04:00:00+00:00,0.9959368898107964,0.00344738227338291,0.0006157279158204237,range
6,3,2023-08-30 08:00:00+00:00,0.9966627464006982,0.00243799592675049,0.0008992576725513732,range
6,3,2023-08-30 12:00:00+00:00,0.9954976674601341,0.0015883245016700927,0.0029140080381960427,range
6,3,2023-08-30 16:00:00+00:00,0.9983502854406542,0.0010138017552231721,0.0006359128041226616,range
6,3,2023-08-30 20:00:00+00:00,0.9981381257670896,0.001488156734208989,0.0003737174987013857,range
6,3,2023-08-31 00:00:00+00:00,0.9984125384348779,0.0009303147859702291,0.0006571467791519438,range
6,3,2023-08-31 04:00:00+00:00,0.997757687931645,0.0018602070741071878,0.000382104994247789,range
6,3,2023-08-31 08:00:00+00:00,0.9973553104117421,0.00222869853687949,0.00041599105137851857,range
6,3,2023-08-31 12:00:00+00:00,0.9954224804856615,0.0006446485642527587,0.003932870950085734,range
6,3,2023-08-31 16:00:00+00:00,0.9935891445571695,0.00048294739620567516,0.0059279080466248715,range
6,3,2023-08-31 20:00:00+00:00,0.9975970174776676,0.00042546511242035106,0.001977517409911919,range
6,3,2023-09-01 00:00:00+00:00,0.9983859434868951,0.0006404612039971196,0.0009735953091076917,range
6,3,2023-09-01 04:00:00+00:00,0.9980575278745835,0.0004166954952245636,0.001525776630191991,range
6,3,2023-09-01 08:00:00+00:00,0.99854785577341,0.0005097878809802727,0.0009423563456096257,range
6,3,2023-09-01 12:00:00+00:00,0.9956479078027959,0.00047443500389832914,0.003877657193306043,range
6,3,2023-09-01 16:00:00+00:00,0.9983658805766258,0.00043143890088422293,0.0012026805224900892,range
6,3,2023-09-01 20:00:00+00:00,0.998310936553234,0.0006510952218400545,0.0010379682249257774,range
6,3,2023-09-02 00:00:00+00:00,0.9982246747115706,0.0011254484464484544,0.0006498768419810245,range
6,3,2023-09-02 04:00:00+00:00,0.9984511720814776,0.0006496800582198982,0.0008991478603025145,range
6,3,2023-09-02 08:00:00+00:00,0.9983755868303309,0.0006090416334840239,0.0010153715361850802,range
6,3,2023-09-02 12:00:00+00:00,0.9985690476242336,0.000720794918551747,0.0007101574572148263,range
6,3,2023-09-02 16:00:00+00:00,0.9984095934019029,0.0007542943529016363,0.0008361122451954642,range
6,3,2023-09-02 20:00:00+00:00,0.9981800466056733,0.0012625745775165062,0.0005573788168102573,range
6,3,2023-09-03 00:00:00+00:00,0.9981283270329466,0.0013425498843099204,0.00052912308274345,range
6,3,2023-09-03 04:00:00+00:00,0.9982572310442386,0.0009400156591762136,0.0008027532965851506,range
6,3,2023-09-03 08:00:00+00:00,0.9983036250341347,0.0008705194254799752,0.0008258555403853925,range
6,3,2023-09-03 12:00:00+00:00,0.9980942737958863,0.0011642198230465766,0.0007415063810671008,range
6,3,2023-09-03 16:00:00+00:00,0.997448650706267,0.0020344067435569095,0.00051694255017605,range
6,3,2023-09-03 20:00:00+00:00,0.9971263824305405,0.002225921944206147,0.0006476956252532407,range
6,3,2023-09-04 00:00:00+00:00,0.9959917553110286,0.0032705182706287473,0.0007377264183425506,range
6,3,2023-09-04 04:00:00+00:00,0.9967572744287421,0.002356336342919664,0.0008863892283382472,range
6,3,2023-09-04 08:00:00+00:00,0.99692332907719,0.0016426287768981482,0.0014340421459121233,range
6,3,2023-09-04 12:00:00+00:00,0.9972488759626108,0.0014252357413624573,0.0013258882960271111,range
6,3,2023-09-04 16:00:00+00:00,0.9972045417451997,0.0019370320151021467,0.0008584262396981779,range
6,3,2023-09-04 20:00:00+00:00,0.9959887451609549,0.0029505816827030185,0.0010606731563419375,range
6,3,2023-09-05 00:00:00+00:00,0.9959562505935076,0.0014151849504527474,0.0026285644560396877,range
6,3,2023-09-05 04:00:00+00:00,0.9963692148479856,0.002805630250587319,0.0008251549014273873,range
6,3,2023-09-05 08:00:00+00:00,0.9959325221186666,0.0032084838477334,0.0008589940335998526,range
6,3,2023-09-05 12:00:00+00:00,0.9033967499866071,0.09520121164608614,0.0014020383673067714,range
6,3,2023-09-05 16:00:00+00:00,0.9947992954329778,0.004052951871775656,0.0011477526952464847,range
6,3,2023-09-05 20:00:00+00:00,0.9971413664777455,0.002307175169818557,0.0005514583524358521,range
6,3,2023-09-06 00:00:00+00:00,0.9978720209027587,0.0014354233738425196,0.0006925557233988725,range
6,3,2023-09-06 04:00:00+00:00,0.9973497705568674,0.0010116703163637925,0.0016385591267689223,range
6,3,2023-09-06 08:00:00+00:00,0.9982138964079792,0.0012952598192423328,0.00049084377277859,range
6,3,2023-09-06 12:00:00+00:00,0.9975340630667247,0.0009690482839100199,0.001496888649365152,range
6,3,2023-09-06 16:00:00+00:00,0.9983167205649641,0.0012538575509894185,0.00042942188404656976,range
6,3,2023-09-06 20:00:00+00:00,0.9980215827875671,0.0015852837855445804,0.00039313342688819194,range
6,3,2023-09-07 00:00:00+00:00,0.9975325485225537,0.0020388072980553947,0.000428644179390882,range
6,3,2023-09-07 04:00:00+00:00,0.998214014007989,0.0010197683850514043,0.000766217606959349,range
6,3,2023-09-07 08:00:00+00:00,0.9985039549285487,0.0008049080306880693,0.0006911370407631903,range
6,3,2023-09-07 12:00:00+00:00,0.9986659966983545,0.0007735381506761291,0.0005604651509694612,range
6,3,2023-09-07 16:00:00+00:00,0.9985753852111854,0.00096027869881592,0.00046433608999863347,range
6,3,2023-09-07 20:00:00+00:00,0.998177460392897,0.0014136785507124748,0.00040886105639041756,range
6,3,2023-09-08 00:00:00+00:00,0.9984839909562553,0.0010849946623668035,0.0004310143813776036,range
6,3,2023-09-08 04:00:00+00:00,0.9983629790246509,0.0010438704098264357,0.0005931505655226356,range
6,3,2023-09-08 08:00:00+00:00,0.9979328694427239,0.0007969574853217624,0.0012701730719544937,range
6,3,2023-09-08 12:00:00+00:00,0.998388938079517,0.0010955587947170276,0.0005155031257660198,range
