pipeline_id,model_family,window_scheme,window_observations,regime_conditioned,parameters_json,complexity_rank
shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter100-max_leaf_nodes7-min_samples_leaf100-expanding-softstate,shallow_hist_gradient_boosting,expanding,,True,"{""l2_regularization"":1.0,""learning_rate"":0.05,""max_iter"":100,""max_leaf_nodes"":7,""min_samples_leaf"":100}",50
shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter100-max_leaf_nodes7-min_samples_leaf100-window_observations4380-rolling_two_year-unconditioned,shallow_hist_gradient_boosting,rolling_two_year,4380.0,False,"{""l2_regularization"":1.0,""learning_rate"":0.05,""max_iter"":100,""max_leaf_nodes"":7,""min_samples_leaf"":100,""window_observations"":4380}",51
shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter100-max_leaf_nodes7-min_samples_leaf100-window_observations4380-rolling_two_year-softstate,shallow_hist_gradient_boosting,rolling_two_year,4380.0,True,"{""l2_regularization"":1.0,""learning_rate"":0.05,""max_iter"":100,""max_leaf_nodes"":7,""min_samples_leaf"":100,""window_observations"":4380}",52
shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter100-max_leaf_nodes7-min_samples_leaf100-window_observations2190-rolling_one_year-unconditioned,shallow_hist_gradient_boosting,rolling_one_year,2190.0,False,"{""l2_regularization"":1.0,""learning_rate"":0.05,""max_iter"":100,""max_leaf_nodes"":7,""min_samples_leaf"":100,""window_observations"":2190}",53
shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter100-max_leaf_nodes7-min_samples_leaf100-window_observations2190-rolling_one_year-softstate,shallow_hist_gradient_boosting,rolling_one_year,2190.0,True,"{""l2_regularization"":1.0,""learning_rate"":0.05,""max_iter"":100,""max_leaf_nodes"":7,""min_samples_leaf"":100,""window_observations"":2190}",54
shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter200-max_leaf_nodes7-min_samples_leaf100-expanding-unconditioned,shallow_hist_gradient_boosting,expanding,,False,"{""l2_regularization"":0.0,""learning_rate"":0.05,""max_iter"":200,""max_leaf_nodes"":7,""min_samples_leaf"":100}",55
shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter200-max_leaf_nodes7-min_samples_leaf100-expanding-softstate,shallow_hist_gradient_boosting,expanding,,True,"{""l2_regularization"":0.0,""learning_rate"":0.05,""max_iter"":200,""max_leaf_nodes"":7,""min_samples_leaf"":100}",56
shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter200-max_leaf_nodes7-min_samples_leaf100-window_observations4380-rolling_two_year-unconditioned,shallow_hist_gradient_boosting,rolling_two_year,4380.0,False,"{""l2_regularization"":0.0,""learning_rate"":0.05,""max_iter"":200,""max_leaf_nodes"":7,""min_samples_leaf"":100,""window_observations"":4380}",57
shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter200-max_leaf_nodes7-min_samples_leaf100-window_observations4380-rolling_two_year-softstate,shallow_hist_gradient_boosting,rolling_two_year,4380.0,True,"{""l2_regularization"":0.0,""learning_rate"":0.05,""max_iter"":200,""max_leaf_nodes"":7,""min_samples_leaf"":100,""window_observations"":4380}",58
shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter200-max_leaf_nodes7-min_samples_leaf100-window_observations2190-rolling_one_year-unconditioned,shallow_hist_gradient_boosting,rolling_one_year,2190.0,False,"{""l2_regularization"":0.0,""learning_rate"":0.05,""max_iter"":200,""max_leaf_nodes"":7,""min_samples_leaf"":100,""window_observations"":2190}",59
shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter200-max_leaf_nodes7-min_samples_leaf100-window_observations2190-rolling_one_year-softstate,shallow_hist_gradient_boosting,rolling_one_year,2190.0,True,"{""l2_regularization"":0.0,""learning_rate"":0.05,""max_iter"":200,""max_leaf_nodes"":7,""min_samples_leaf"":100,""window_observations"":2190}",60
shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter200-max_leaf_nodes7-min_samples_leaf100-expanding-unconditioned,shallow_hist_gradient_boosting,expanding,,False,"{""l2_regularization"":1.0,""learning_rate"":0.05,""max_iter"":200,""max_leaf_nodes"":7,""min_samples_leaf"":100}",61
shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter200-max_leaf_nodes7-min_samples_leaf100-expanding-softstate,shallow_hist_gradient_boosting,expanding,,True,"{""l2_regularization"":1.0,""learning_rate"":0.05,""max_iter"":200,""max_leaf_nodes"":7,""min_samples_leaf"":100}",62
shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter200-max_leaf_nodes7-min_samples_leaf100-window_observations4380-rolling_two_year-unconditioned,shallow_hist_gradient_boosting,rolling_two_year,4380.0,False,"{""l2_regularization"":1.0,""learning_rate"":0.05,""max_iter"":200,""max_leaf_nodes"":7,""min_samples_leaf"":100,""window_observations"":4380}",63
shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter200-max_leaf_nodes7-min_samples_leaf100-window_observations4380-rolling_two_year-softstate,shallow_hist_gradient_boosting,rolling_two_year,4380.0,True,"{""l2_regularization"":1.0,""learning_rate"":0.05,""max_iter"":200,""max_leaf_nodes"":7,""min_samples_leaf"":100,""window_observations"":4380}",64
shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter200-max_leaf_nodes7-min_samples_leaf100-window_observations2190-rolling_one_year-unconditioned,shallow_hist_gradient_boosting,rolling_one_year,2190.0,False,"{""l2_regularization"":1.0,""learning_rate"":0.05,""max_iter"":200,""max_leaf_nodes"":7,""min_samples_leaf"":100,""window_observations"":2190}",65
shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter200-max_leaf_nodes7-min_samples_leaf100-window_observations2190-rolling_one_year-softstate,shallow_hist_gradient_boosting,rolling_one_year,2190.0,True,"{""l2_regularization"":1.0,""learning_rate"":0.05,""max_iter"":200,""max_leaf_nodes"":7,""min_samples_leaf"":100,""window_observations"":2190}",66
shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes15-min_samples_leaf100-expanding-unconditioned,shallow_hist_gradient_boosting,expanding,,False,"{""l2_regularization"":0.0,""learning_rate"":0.05,""max_iter"":100,""max_leaf_nodes"":15,""min_samples_leaf"":100}",67
shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes15-min_samples_leaf100-expanding-softstate,shallow_hist_gradient_boosting,expanding,,True,"{""l2_regularization"":0.0,""learning_rate"":0.05,""max_iter"":100,""max_leaf_nodes"":15,""min_samples_leaf"":100}",68
